 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+01 eV = 1.28623E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.00000E+00
 #
 # Total elastic cross section = 9.42862E-16 cm**2 = 3.36702E+01 a0**2
 # 1st transport cross section = 6.11925E-16 cm**2 = 2.18522E+01 a0**2
 # 2nd transport cross section = 5.51569E-16 cm**2 = 1.96969E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.35879E-15  1.19945E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.35879E-15  1.19945E+02 -5.21783E-08  1.0E-07
  1.250E-04  1.18994E-12  3.35879E-15  1.19945E+02 -6.52229E-08  1.0E-07
  1.500E-04  1.71346E-12  3.35879E-15  1.19945E+02 -7.82674E-08  1.0E-07
  1.750E-04  2.33225E-12  3.35879E-15  1.19945E+02 -9.13120E-08  1.0E-07
  2.000E-04  3.04617E-12  3.35879E-15  1.19945E+02 -1.04357E-07  1.0E-07
  2.250E-04  3.85530E-12  3.35879E-15  1.19945E+02 -1.17401E-07  1.0E-07
  2.500E-04  4.75964E-12  3.35879E-15  1.19945E+02 -1.30446E-07  1.0E-07
  2.750E-04  5.75917E-12  3.35879E-15  1.19945E+02 -1.43490E-07  1.0E-07
  3.000E-04  6.85391E-12  3.35879E-15  1.19945E+02 -1.56535E-07  1.0E-07
  3.250E-04  8.04379E-12  3.35879E-15  1.19945E+02 -1.69579E-07  1.0E-07
  3.500E-04  9.32893E-12  3.35879E-15  1.19945E+02 -1.82624E-07  1.0E-07
  3.750E-04  1.07092E-11  3.35879E-15  1.19945E+02 -1.95669E-07  1.0E-07
  4.000E-04  1.21847E-11  3.35879E-15  1.19945E+02 -2.08713E-07  1.0E-07
  4.250E-04  1.37554E-11  3.35879E-15  1.19945E+02 -2.21758E-07  1.0E-07
  4.500E-04  1.54213E-11  3.35879E-15  1.19945E+02 -2.34802E-07  1.0E-07
  4.750E-04  1.71823E-11  3.35879E-15  1.19945E+02 -2.47847E-07  1.0E-07
  5.000E-04  1.90386E-11  3.35879E-15  1.19945E+02 -2.60891E-07  1.0E-07
  5.250E-04  2.09900E-11  3.35879E-15  1.19945E+02 -2.73936E-07  1.0E-07
  5.500E-04  2.30367E-11  3.35879E-15  1.19945E+02 -2.86981E-07  1.0E-07
