 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.80000E+04 eV = 6.61488E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 5.97938E-17 cm**2 = 2.13527E+00 a0**2
 # 1st transport cross section = 1.97448E-18 cm**2 = 7.05100E-02 a0**2
 # 2nd transport cross section = 3.49245E-18 cm**2 = 1.24718E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.99769E-15  2.85603E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  7.99769E-15  2.85603E+02  1.06603E-09  1.0E-07
  1.250E-04  1.18994E-12  7.99769E-15  2.85603E+02  1.33254E-09  1.0E-07
  1.500E-04  1.71346E-12  7.99769E-15  2.85603E+02  1.59904E-09  1.0E-07
  1.750E-04  2.33225E-12  7.99769E-15  2.85603E+02  1.86555E-09  1.0E-07
  2.000E-04  3.04617E-12  7.99769E-15  2.85603E+02  2.13206E-09  1.0E-07
  2.250E-04  3.85530E-12  7.99769E-15  2.85603E+02  2.39857E-09  1.0E-07
  2.500E-04  4.75964E-12  7.99769E-15  2.85603E+02  2.66507E-09  1.0E-07
  2.750E-04  5.75917E-12  7.99769E-15  2.85603E+02  2.93158E-09  1.0E-07
  3.000E-04  6.85391E-12  7.99769E-15  2.85603E+02  3.19809E-09  1.0E-07
  3.250E-04  8.04379E-12  7.99769E-15  2.85603E+02  3.46460E-09  1.0E-07
  3.500E-04  9.32893E-12  7.99769E-15  2.85603E+02  3.73110E-09  1.0E-07
