 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.50000E+04 eV = 5.51240E+02 a.u.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Electron density: analytical DHFS model
 #                   A1 = -7.05665D-06 ,   ALPHA1 = 4.92969D+00
 #                   A2 = -1.84386D+02 ,   ALPHA2 = 2.00272D+00
 #                   A3 =  1.85386D+02 ,   ALPHA3 = 1.99732D+00
 #                   Volume integral = 1.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.94406E-19 cm**2 = 6.94238E-03 a0**2
 # 1st transport cross section = 1.06450E-21 cm**2 = 3.80140E-05 a0**2
 # 2nd transport cross section = 2.75859E-21 cm**2 = 9.85112E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  1.000E-04  7.61557E-13  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  1.250E-04  1.18994E-12  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  1.500E-04  1.71346E-12  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  1.750E-04  2.33225E-12  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  2.000E-04  3.04617E-12  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  2.250E-04  3.85530E-12  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  2.500E-04  4.75964E-12  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  2.750E-04  5.75917E-12  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  3.000E-04  6.85391E-12  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  3.250E-04  8.04379E-12  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  3.500E-04  9.32893E-12  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  3.750E-04  1.07092E-11  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  4.000E-04  1.21847E-11  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  4.250E-04  1.37554E-11  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  4.500E-04  1.54213E-11  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  4.750E-04  1.71823E-11  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  5.000E-04  1.90386E-11  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  5.250E-04  2.09900E-11  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  5.500E-04  2.30367E-11  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  5.750E-04  2.51785E-11  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  6.000E-04  2.74156E-11  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  6.250E-04  2.97478E-11  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
  6.500E-04  3.21752E-11  2.96805E-17  1.05991E+00  0.00000E+00  1.6E-07
