 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+01 eV = 7.34987E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical TFM model
 #                   A1 =  1.00000D-01 ,   ALPHA1 = 1.63337D+01
 #                   A2 =  5.50000D-01 ,   ALPHA2 = 3.26673D+00
 #                   A3 =  3.50000D-01 ,   ALPHA3 = 8.16684D-01
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 1.00000E+00
 #
 # Total elastic cross section = 2.37861E-15 cm**2 = 8.49417E+01 a0**2
 # 1st transport cross section = 1.28643E-15 cm**2 = 4.59391E+01 a0**2
 # 2nd transport cross section = 1.35863E-15 cm**2 = 4.85177E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.40895E-15  2.28868E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  6.40895E-15  2.28868E+02 -1.13573E-09  1.0E-07
  1.250E-04  1.18994E-12  6.40895E-15  2.28868E+02 -1.41966E-09  1.0E-07
  1.500E-04  1.71346E-12  6.40895E-15  2.28868E+02 -1.70359E-09  1.0E-07
  1.750E-04  2.33225E-12  6.40895E-15  2.28868E+02 -1.98752E-09  1.0E-07
  2.000E-04  3.04617E-12  6.40895E-15  2.28868E+02 -2.27145E-09  1.0E-07
  2.250E-04  3.85530E-12  6.40895E-15  2.28868E+02 -2.55538E-09  1.0E-07
  2.500E-04  4.75964E-12  6.40895E-15  2.28868E+02 -2.83932E-09  1.0E-07
  2.750E-04  5.75917E-12  6.40895E-15  2.28868E+02 -3.12325E-09  1.0E-07
  3.000E-04  6.85391E-12  6.40895E-15  2.28868E+02 -3.40718E-09  1.0E-07
  3.250E-04  8.04379E-12  6.40895E-15  2.28868E+02 -3.69111E-09  1.0E-07
  3.500E-04  9.32893E-12  6.40895E-15  2.28868E+02 -3.97504E-09  1.0E-07
  3.750E-04  1.07092E-11  6.40895E-15  2.28868E+02 -4.25897E-09  1.0E-07
  4.000E-04  1.21847E-11  6.40895E-15  2.28868E+02 -4.54290E-09  1.0E-07
  4.250E-04  1.37554E-11  6.40895E-15  2.28868E+02 -4.82684E-09  1.0E-07
  4.500E-04  1.54213E-11  6.40895E-15  2.28868E+02 -5.11077E-09  1.0E-07
  4.750E-04  1.71823E-11  6.40895E-15  2.28868E+02 -5.39470E-09  1.0E-07
  5.000E-04  1.90386E-11  6.40895E-15  2.28868E+02 -5.67863E-09  1.0E-07
  5.250E-04  2.09900E-11  6.40895E-15  2.28868E+02 -5.96256E-09  1.0E-07
  5.500E-04  2.30367E-11  6.40895E-15  2.28868E+02 -6.24649E-09  1.0E-07
