 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.50000E+01 eV = 5.51240E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical TFM model
 #                   A1 =  1.00000D-01 ,   ALPHA1 = 1.63337D+01
 #                   A2 =  5.50000D-01 ,   ALPHA2 = 3.26673D+00
 #                   A3 =  3.50000D-01 ,   ALPHA3 = 8.16684D-01
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 1.00000E+00
 #
 # Total elastic cross section = 2.31880E-15 cm**2 = 8.28059E+01 a0**2
 # 1st transport cross section = 1.14267E-15 cm**2 = 4.08056E+01 a0**2
 # 2nd transport cross section = 1.40298E-15 cm**2 = 5.01013E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.08388E-15  2.17259E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  6.08388E-15  2.17259E+02 -7.81827E-10  1.0E-07
  1.250E-04  1.18994E-12  6.08388E-15  2.17259E+02 -9.77284E-10  1.0E-07
  1.500E-04  1.71346E-12  6.08388E-15  2.17259E+02 -1.17274E-09  1.0E-07
  1.750E-04  2.33225E-12  6.08388E-15  2.17259E+02 -1.36820E-09  1.0E-07
  2.000E-04  3.04617E-12  6.08388E-15  2.17259E+02 -1.56365E-09  1.0E-07
  2.250E-04  3.85530E-12  6.08388E-15  2.17259E+02 -1.75911E-09  1.0E-07
  2.500E-04  4.75964E-12  6.08388E-15  2.17259E+02 -1.95457E-09  1.0E-07
  2.750E-04  5.75917E-12  6.08388E-15  2.17259E+02 -2.15002E-09  1.0E-07
  3.000E-04  6.85391E-12  6.08388E-15  2.17259E+02 -2.34548E-09  1.0E-07
  3.250E-04  8.04379E-12  6.08388E-15  2.17259E+02 -2.54094E-09  1.0E-07
  3.500E-04  9.32893E-12  6.08388E-15  2.17259E+02 -2.73639E-09  1.0E-07
  3.750E-04  1.07092E-11  6.08388E-15  2.17259E+02 -2.93185E-09  1.0E-07
  4.000E-04  1.21847E-11  6.08388E-15  2.17259E+02 -3.12731E-09  1.0E-07
  4.250E-04  1.37554E-11  6.08388E-15  2.17259E+02 -3.32276E-09  1.0E-07
  4.500E-04  1.54213E-11  6.08388E-15  2.17259E+02 -3.51822E-09  1.0E-07
