 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: analytical DHFS model
 #                   A1 =  6.25130D-02 ,   ALPHA1 = 1.48233D+01
 #                   A2 =  9.37487D-01 ,   ALPHA2 = 2.04035D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 8.00000E+00
 #
 # Muffin-tin model: Rmt = 3.22000E-08 cm
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 8.04360E-18 cm**2 = 2.87242E-01 a0**2
 # 1st transport cross section = 1.68187E-19 cm**2 = 6.00608E-03 a0**2
 # 2nd transport cross section = 4.04216E-19 cm**2 = 1.44348E-02 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.63865E-16  1.29938E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.63865E-16  1.29938E+01  1.15544E-10  1.0E-07
  1.250E-04  1.18994E-12  3.63865E-16  1.29938E+01  1.44429E-10  1.0E-07
  1.500E-04  1.71346E-12  3.63865E-16  1.29938E+01  1.73315E-10  1.0E-07
  1.750E-04  2.33225E-12  3.63865E-16  1.29938E+01  2.02201E-10  1.0E-07
  2.000E-04  3.04617E-12  3.63865E-16  1.29938E+01  2.31087E-10  1.0E-07
  2.250E-04  3.85530E-12  3.63865E-16  1.29938E+01  2.59973E-10  1.0E-07
  2.500E-04  4.75964E-12  3.63865E-16  1.29938E+01  2.88859E-10  1.0E-07
  2.750E-04  5.75917E-12  3.63865E-16  1.29938E+01  3.17745E-10  1.0E-07
  3.000E-04  6.85391E-12  3.63865E-16  1.29938E+01  3.46631E-10  1.0E-07
  3.250E-04  8.04379E-12  3.63865E-16  1.29938E+01  3.75516E-10  1.0E-07
  3.500E-04  9.32893E-12  3.63865E-16  1.29938E+01  4.04402E-10  1.0E-07
  3.750E-04  1.07092E-11  3.63865E-16  1.29938E+01  4.33288E-10  1.0E-07
  4.000E-04  1.21847E-11  3.63865E-16  1.29938E+01  4.62174E-10  1.0E-07
  4.250E-04  1.37554E-11  3.63865E-16  1.29938E+01  4.91060E-10  1.0E-07
  4.500E-04  1.54213E-11  3.63865E-16  1.29938E+01  5.19946E-10  1.0E-07
  4.750E-04  1.71823E-11  3.63865E-16  1.29938E+01  5.48832E-10  1.0E-07
  5.000E-04  1.90386E-11  3.63865E-16  1.29938E+01  5.77718E-10  1.0E-07
  5.250E-04  2.09900E-11  3.63865E-16  1.29938E+01  6.06604E-10  1.0E-07
  5.500E-04  2.30367E-11  3.63865E-16  1.29938E+01  6.35489E-10  1.0E-07
  5.750E-04  2.51785E-11  3.63865E-16  1.29938E+01  6.64375E-10  1.0E-07
  6.000E-04  2.74156E-11  3.63865E-16  1.29938E+01  6.93261E-10  1.0E-07
  6.250E-04  2.97478E-11  3.63865E-16  1.29938E+01  7.22147E-10  1.0E-07
  6.500E-04  3.21752E-11  3.63865E-16  1.29938E+01  7.51033E-10  1.0E-07
  6.750E-04  3.46979E-11  3.63865E-16  1.29938E+01  7.79919E-10  1.0E-07
  7.000E-04  3.73157E-11  3.63865E-16  1.29938E+01  8.08805E-10  1.0E-07
  7.250E-04  4.00286E-11  3.63865E-16  1.29938E+01  8.37691E-10  1.0E-07
  7.500E-04  4.28368E-11  3.63865E-16  1.29938E+01  8.66577E-10  1.0E-07
  7.750E-04  4.57402E-11  3.63865E-16  1.29938E+01  8.95462E-10  1.0E-07
  8.000E-04  4.87388E-11  3.63865E-16  1.29938E+01  9.24348E-10  1.0E-07
  8.250E-04  5.18325E-11  3.63865E-16  1.29938E+01  9.53234E-10  1.0E-07
  8.500E-04  5.50215E-11  3.63865E-16  1.29938E+01  9.82120E-10  1.0E-07
  8.750E-04  5.83057E-11  3.63865E-16  1.29938E+01  1.01101E-09  1.0E-07
  9.000E-04  6.16850E-11  3.63865E-16  1.29938E+01  1.03989E-09  1.0E-07
  9.250E-04  6.51595E-11  3.63865E-16  1.29938E+01  1.06878E-09  1.0E-07
  9.500E-04  6.87293E-11  3.63865E-16  1.29938E+01  1.09766E-09  1.0E-07
  9.750E-04  7.23943E-11  3.63865E-16  1.29938E+01  1.12655E-09  1.0E-07
  1.000E-03  7.61544E-11  3.63865E-16  1.29938E+01  1.15544E-09  1.0E-07
  1.250E-03  1.18991E-10  3.63865E-16  1.29938E+01  1.44429E-09  1.0E-07
  1.500E-03  1.71347E-10  3.63865E-16  1.29938E+01  1.73315E-09  1.0E-07
  1.750E-03  2.33223E-10  3.63865E-16  1.29938E+01  2.02201E-09  1.0E-07
  2.000E-03  3.04617E-10  3.63865E-16  1.29938E+01  2.31087E-09  1.0E-07
  2.250E-03  3.85531E-10  3.63865E-16  1.29938E+01  2.59973E-09  1.0E-07
  2.500E-03  4.75965E-10  3.63865E-16  1.29938E+01  2.88859E-09  1.0E-07
  2.750E-03  5.75917E-10  3.63865E-16  1.29938E+01  3.17745E-09  1.0E-07
  3.000E-03  6.85389E-10  3.63864E-16  1.29938E+01  3.46631E-09  1.0E-07
  3.250E-03  8.04380E-10  3.63864E-16  1.29938E+01  3.75517E-09  1.0E-07
  3.500E-03  9.32891E-10  3.63864E-16  1.29938E+01  4.04403E-09  1.0E-07
  3.750E-03  1.07092E-09  3.63864E-16  1.29938E+01  4.33288E-09  1.0E-07
  4.000E-03  1.21847E-09  3.63864E-16  1.29938E+01  4.62174E-09  1.0E-07
  4.250E-03  1.37554E-09  3.63864E-16  1.29938E+01  4.91060E-09  1.0E-07
  4.500E-03  1.54213E-09  3.63864E-16  1.29938E+01  5.19946E-09  1.0E-07
  4.750E-03  1.71823E-09  3.63864E-16  1.29938E+01  5.48832E-09  1.0E-07
  5.000E-03  1.90386E-09  3.63864E-16  1.29938E+01  5.77718E-09  1.0E-07
  5.250E-03  2.09900E-09  3.63864E-16  1.29938E+01  6.06604E-09  1.0E-07
  5.500E-03  2.30367E-09  3.63864E-16  1.29938E+01  6.35490E-09  1.0E-07
  5.750E-03  2.51785E-09  3.63864E-16  1.29938E+01  6.64376E-09  1.0E-07
  6.000E-03  2.74156E-09  3.63864E-16  1.29938E+01  6.93262E-09  1.0E-07
  6.250E-03  2.97478E-09  3.63864E-16  1.29938E+01  7.22148E-09  1.0E-07
  6.500E-03  3.21752E-09  3.63863E-16  1.29938E+01  7.51034E-09  1.0E-07
  6.750E-03  3.46978E-09  3.63863E-16  1.29938E+01  7.79920E-09  1.0E-07
  7.000E-03  3.73156E-09  3.63863E-16  1.29938E+01  8.08806E-09  1.0E-07
  7.250E-03  4.00286E-09  3.63863E-16  1.29938E+01  8.37692E-09  1.0E-07
  7.500E-03  4.28368E-09  3.63863E-16  1.29938E+01  8.66578E-09  1.0E-07
  7.750E-03  4.57402E-09  3.63863E-16  1.29938E+01  8.95464E-09  1.0E-07
  8.000E-03  4.87388E-09  3.63863E-16  1.29938E+01  9.24350E-09  1.0E-07
  8.250E-03  5.18326E-09  3.63863E-16  1.29938E+01  9.53236E-09  1.0E-07
  8.500E-03  5.50215E-09  3.63862E-16  1.29938E+01  9.82122E-09  1.0E-07
  8.750E-03  5.83057E-09  3.63862E-16  1.29938E+01  1.01101E-08  1.0E-07
  9.000E-03  6.16850E-09  3.63862E-16  1.29938E+01  1.03989E-08  1.0E-07
  9.250E-03  6.51596E-09  3.63862E-16  1.29937E+01  1.06878E-08  1.0E-07
  9.500E-03  6.87293E-09  3.63862E-16  1.29937E+01  1.09767E-08  1.0E-07
  9.750E-03  7.23942E-09  3.63862E-16  1.29937E+01  1.12655E-08  1.0E-07
  1.000E-02  7.61544E-09  3.63862E-16  1.29937E+01  1.15544E-08  1.0E-07
  1.250E-02  1.18991E-08  3.63860E-16  1.29937E+01  1.44430E-08  1.0E-07
  1.500E-02  1.71347E-08  3.63858E-16  1.29936E+01  1.73316E-08  1.0E-07
  1.750E-02  2.33223E-08  3.63855E-16  1.29935E+01  2.02203E-08  1.0E-07
  2.000E-02  3.04617E-08  3.63852E-16  1.29934E+01  2.31090E-08  1.0E-07
  2.250E-02  3.85531E-08  3.63849E-16  1.29933E+01  2.59977E-08  1.0E-07
  2.500E-02  4.75965E-08  3.63845E-16  1.29931E+01  2.88864E-08  1.0E-07
